Дата;Открытие;Макс;Мин;Закрытие
01.10.2018;117430;117430;117260;117270
01.10.2018;117270;117360;117270;117300
01.10.2018;117310;117330;117180;117180
01.10.2018;117180;117210;117130;117190
01.10.2018;117210;117210;117060;117090
01.10.2018;117080;117190;117080;117180
01.10.2018;117170;117170;117140;117150
01.10.2018;117150;117160;117090;117100
01.10.2018;117100;117120;117030;117050
01.10.2018;117030;117050;116950;116990
01.10.2018;117000;117020;116950;117020
01.10.2018;117020;117030;116910;116950
01.10.2018;116950;116990;116920;116970
01.10.2018;116960;117030;116960;117010
01.10.2018;117010;117050;116990;117030
01.10.2018;117030;117130;117020;117090
01.10.2018;117080;117150;117080;117140
01.10.2018;117140;117140;117090;117140
01.10.2018;117130;117240;117110;117210
01.10.2018;117220;117230;117130;117140
01.10.2018;117140;117200;117130;117150
01.10.2018;117150;117270;117150;117230
01.10.2018;117230;117360;117210;117340
01.10.2018;117350;117370;117250;117260
01.10.2018;117250;117270;117160;117180
01.10.2018;117180;117230;117170;117230
01.10.2018;117210;117220;117160;117190
01.10.2018;117200;117210;117160;117180
01.10.2018;117170;117190;117150;117180
01.10.2018;117180;117240;117150;117200
01.10.2018;117210;117250;117200;117250
01.10.2018;117250;117340;117240;117340
01.10.2018;117340;117380;117330;117380
01.10.2018;117370;117400;117350;117380
01.10.2018;117380;117410;117330;117390
01.10.2018;117390;117430;117350;117380
01.10.2018;117400;117410;117290;117330
01.10.2018;117330;117380;117290;117380
01.10.2018;117360;117420;117350;117390
01.10.2018;117380;117390;117320;117330
01.10.2018;117340;117350;117300;117300
01.10.2018;117310;117350;117290;117330
01.10.2018;117340;117340;117320;117320
01.10.2018;117310;117340;117290;117330
01.10.2018;117330;117330;117240;117270
01.10.2018;117260;117280;117180;117250
01.10.2018;117240;117250;117210;117240
01.10.2018;117250;117270;117190;117190
01.10.2018;117210;117250;117140;117160
01.10.2018;117170;117190;117110;117140
01.10.2018;117140;117190;117130;117180
01.10.2018;117180;117200;117170;117190
01.10.2018;117180;117200;117170;117180
01.10.2018;117180;117200;117150;117180
01.10.2018;117180;117200;117170;117170
01.10.2018;117160;117170;117090;117100
01.10.2018;117100;117200;117100;117200
01.10.2018;117190;117230;117170;117210
01.10.2018;117210;117210;117160;117200
01.10.2018;117200;117250;117200;117230
01.10.2018;117240;117250;117220;117240
01.10.2018;117230;117270;117210;117240
01.10.2018;117250;117270;117210;117230
01.10.2018;117230;117240;117190;117200
01.10.2018;117200;117250;117190;117240
01.10.2018;117220;117280;117210;117280
01.10.2018;117280;117280;117230;117250
01.10.2018;117240;117260;117220;117240
01.10.2018;117250;117260;117210;117220
01.10.2018;117230;117260;117210;117240
01.10.2018;117250;117330;117250;117330
01.10.2018;117330;117420;117320;117340
01.10.2018;117350;117390;117330;117380
01.10.2018;117380;117400;117330;117330
01.10.2018;117330;117350;117300;117310
01.10.2018;117300;117330;117300;117310
01.10.2018;117300;117410;117300;117410
01.10.2018;117400;117450;117390;117400
01.10.2018;117400;117410;117350;117390
01.10.2018;117410;117440;117390;117390
01.10.2018;117400;117440;117380;117400
01.10.2018;117400;117410;117390;117400
01.10.2018;117410;117440;117380;117420
01.10.2018;117420;117420;117360;117380
01.10.2018;117380;117420;117370;117390
01.10.2018;117380;117400;117360;117370
01.10.2018;117360;117410;117340;117400
01.10.2018;117400;117470;117360;117380
01.10.2018;117400;117420;117360;117390
01.10.2018;117390;117400;117370;117370
01.10.2018;117370;117390;117350;117390
01.10.2018;117400;117450;117400;117450
01.10.2018;117440;117500;117440;117460
01.10.2018;117450;117500;117440;117490
01.10.2018;117500;117600;117470;117560
01.10.2018;117560;117600;117540;117550
01.10.2018;117560;117630;117540;117630
01.10.2018;117620;117870;117620;117800
01.10.2018;117800;117890;117800;117880
01.10.2018;117870;118010;117860;117970
01.10.2018;117970;118070;117930;118030
01.10.2018;118040;118080;118010;118060
01.10.2018;118060;118220;118050;118070
01.10.2018;118080;118140;118060;118060
01.10.2018;118070;118140;118060;118080
01.10.2018;118080;118100;117930;117940
01.10.2018;117940;117990;117910;117940
01.10.2018;117950;118140;117940;118010
01.10.2018;118010;118090;118000;118060
01.10.2018;118070;118170;118050;118140
01.10.2018;118160;118200;118150;118200
01.10.2018;118200;118310;118070;118100
01.10.2018;118100;118220;118100;118210
01.10.2018;118210;118330;118200;118200
01.10.2018;118200;118210;118080;118090
01.10.2018;118100;118110;118070;118110
01.10.2018;118120;118290;118120;118290
01.10.2018;118290;118330;118200;118260
01.10.2018;118260;118330;118210;118260
01.10.2018;118260;118280;118240;118240
01.10.2018;118260;118380;118220;118340
01.10.2018;118330;118630;118310;118550
01.10.2018;118550;118570;118440;118460
01.10.2018;118470;118490;118450;118450
01.10.2018;118460;118470;118420;118420
01.10.2018;118430;118450;118400;118400
01.10.2018;118410;118440;118380;118390
01.10.2018;118390;118420;118380;118390
01.10.2018;118390;118460;118390;118420
01.10.2018;118430;118460;118350;118370
01.10.2018;118380;118390;118350;118370
01.10.2018;118370;118410;118340;118390
01.10.2018;118390;118460;118380;118430
01.10.2018;118440;118490;118430;118490
01.10.2018;118490;118500;118400;118410
01.10.2018;118410;118420;118380;118420
01.10.2018;118410;118490;118380;118390
01.10.2018;118390;118420;118370;118400
01.10.2018;118400;118410;118320;118340
01.10.2018;118320;118320;118190;118250
01.10.2018;118260;118300;118200;118290
01.10.2018;118280;118290;118250;118270
01.10.2018;118250;118300;118250;118290
01.10.2018;118300;118300;118250;118290
01.10.2018;118300;118300;118240;118270
01.10.2018;118260;118300;118260;118300
01.10.2018;118290;118300;118280;118280
01.10.2018;118280;118290;118190;118190
01.10.2018;118190;118220;118170;118190
01.10.2018;118200;118210;118190;118190
01.10.2018;118190;118210;118160;118200
01.10.2018;118200;118260;118200;118240
01.10.2018;118250;118250;118220;118250
01.10.2018;118250;118260;118220;118250
01.10.2018;118240;118240;118210;118220
01.10.2018;118210;118230;118190;118190
01.10.2018;118210;118230;118190;118190
01.10.2018;118190;118240;118180;118240
01.10.2018;118240;118290;118210;118220
01.10.2018;118210;118240;118190;118210
01.10.2018;118200;118220;118190;118220
01.10.2018;118200;118220;118200;118220
01.10.2018;118210;118210;118160;118170
01.10.2018;118160;118160;118080;118110
01.10.2018;118120;118160;118120;118130
01.10.2018;118140;118150;118120;118140
01.10.2018;118130;118150;118130;118130
01.10.2018;118150;118220;118150;118200
01.10.2018;118210;118250;118200;118250
01.10.2018;118250;118270;118210;118210
01.10.2018;118220;118270;118220;118270
01.10.2018;118260;118290;118240;118240
01.10.2018;118240;118270;118230;118240
01.10.2018;118250;118270;118240;118260
01.10.2018;118250;118270;118230;118270
01.10.2018;118270;118290;118260;118270
01.10.2018;118280;118280;118250;118250
